"특보구역코드","특보구역이름","광역행정구역"
"L1010100","세종","세종"
"L1010200","광명시","경기도"
"L1010600","부천시","경기도"
"L1010800","인천광역시","인천광역시"
"L1011100","동두천시","경기도"
"L1011200","연천군","경기도"
"L1011300","포천시","경기도"
"L1011400","가평군","경기도"
"L1011500","고양시","경기도"
"L1011600","양주시","경기도"
"L1011700","의정부시","경기도"
"L1011800","파주시","경기도"
"L1011900","수원시","경기도"
"L1012200","구리시","경기도"
"L1012300","남양주시","경기도"
"L1012600","군포시","경기도"
"L1012700","의왕시","경기도"
"L1020100","인천(강화군","옹진군 제외)"
"L1020110","강릉시평지","강원도"
"L1020200","강화","인천"
"L1020210","동해시평지","강원도"
"L1020300","옹진","인천"
"L1020410","삼척시평지","강원도"
"L1020510","속초시평지","강원도"
"L1020610","고성군평지","강원도"
"L1020710","양양군평지","강원도"
"L1020800","영월군","강원도"
"L1021010","정선군평지","강원도"
"L1021300","철원군","강원도"
"L1021400","화천군","강원도"
"L1021510","홍천군평지","강원도"
"L1021810","인제군평지","강원도"
"L1025020","강원북부산지","강원도"
"L1026020","강원중부산지","강원도"
"L1027020","강원남부산지","강원도"
"L1030100","경기도(광명)","경기"
"L1030200","경기도(과천)","경기"
"L1030300","경기도(안산)","경기"
"L1030400","경기도(시흥)","경기"
"L1030500","경기도(부천)","경기"
"L1030600","경기도(김포)","경기"
"L1030700","경기도(동두천)","경기"
"L1030800","경기도(연천)","경기"
"L1030900","경기도(포천)","경기"
"L1031000","경기도(가평)","경기"
"L1031100","경기도(고양)","경기"
"L1031200","경기도(양주)","경기"
"L1031300","경기도(의정부)","경기"
"L1031400","경기도(파주)","경기"
"L1031500","경기도(수원)","경기"
"L1031600","경기도(성남)","경기"
"L1031700","경기도(안양)","경기"
"L1031800","경기도(구리)","경기"
"L1031900","경기도(남양주)","경기"
"L1032000","경기도(오산)","경기"
"L1032100","경기도(평택)","경기"
"L1032200","경기도(군포)","경기"
"L1032300","경기도(의왕)","경기"
"L1032400","경기도(하남)","경기"
"L1032500","경기도(용인)","경기"
"L1032600","경기도(이천)","경기"
"L1032700","경기도(안성)","경기"
"L1032800","경기도(화성)","경기"
"L1032900","경기도(여주)","경기"
"L1033000","경기도(광주)","경기"
"L1033100","경기도(양평)","경기"
"L1040100","강원도(춘천)","강원"
"L1040200","강원도(원주)","강원"
"L1040300","보은군","충청북도"
"L1040600","옥천군","충청북도"
"L1040700","강릉평지","강원"
"L1041100","강원북부산지","강원"
"L1041200","강원중부산지","강원"
"L1041300","강원남부산지","강원"
"L1052600","거문도.초도","전라남도"
"L1060600","진안군","전북자치도"
"L1060700","무주군","전북자치도"
"L1060800","장수군","전북자치도"
"L1070100","울산동부","울산"
"L1070200","울산서부","울산"
"L1070300","구미시","경상북도"
"L1070400","영천시","경상북도"
"L1070500","경산시","경상북도"
"L1070800","고령군","경상북도"
"L1070900","성주군","경상북도"
"L1071000","칠곡군","경상북도"
"L1071100","김천시","경상북도"
"L1071200","상주시","경상북도"
"L1071300","문경시","경상북도"
"L1071400","예천군","경상북도"
"L1071500","안동시","경상북도"
"L1071600","영주시","경상북도"
"L1071700","의성군","경상북도"
"L1071800","청송군","경상북도"
"L1071910","영양군평지","경상북도"
"L1072010","봉화군평지","경상북도"
"L1072100","울릉도.독도","울릉도.독도"
"L1072200","영덕군","경상북도"
"L1072310","울진군평지","경상북도"
"L1072400","포항시","경상북도"
"L1072500","경주시","경상북도"
"L1075020","경북북동산지","경상북도"
"L1080100","부산동부","부산"
"L1080200","부산서부","부산"
"L1080300","부산중부","부산"
"L1080600","창원시","경상남도"
"L1080900","김해시","경상남도"
"L1081600","산청군","경상남도"
"L1081700","함양군","경상남도"
"L1081800","거창군","경상남도"
"L1081900","합천군","경상남도"
"L1082500","부산동부","부산광역시"
"L1082600","부산중부","부산광역시"
"L1082700","부산서부","부산광역시"
"L1082800","울산동부","울산광역시"
"L1082900","울산서부","울산광역시"
"L1090500","제주도산지","제주도"
"L1090600","제주도서부","제주도"
"L1090700","제주도북부","제주도"
"L1090800","제주도동부","제주도"
"L1090900","제주도남부","제주도"
"L1091000","추자도","제주도"
"L1091100","제주도북부중산간","제주도"
"L1091200","제주도남부중산간","제주도"
"L1100100","서울서북권","서울"
"L1100200","서울동북권","서울"
"L1100300","서울서남권","서울"
"L1100400","서울동남권","서울"
"L1150100","광주","광주"
"L1160100","대구(군위군","달성군 제외)"
"L1160200","대구서부","대구"
"L1160300","대구동부","대구"
"L1170100","대전","대전"
"S1131100","울산앞바다","동해남부앞바다"
"S1131200","경북남부앞바다","동해남부앞바다"
"S1131300","경북북부앞바다","동해남부앞바다"
"S1132110","동해남부남쪽안쪽먼바다","동해남부전해상"
"S1132120","동해남부남쪽바깥먼바다","동해남부전해상"
"S1132210","동해남부북쪽안쪽먼바다","동해남부전해상"
"S1132220","동해남부북쪽바깥먼바다","동해남부전해상"
"S1151100","강원북부앞바다","동해중부앞바다"
"S1151200","강원중부앞바다","동해중부앞바다"
"S1151300","강원남부앞바다","동해중부앞바다"
"S1152010","동해중부안쪽먼바다","동해중부전해상"
"S1152020","동해중부바깥먼바다","동해중부전해상"
"S1232210","서해남부남쪽안쪽먼바다","서해남부전해상"
"S1232220","서해남부남쪽바깥먼바다","서해남부전해상"
"S1311100","부산앞바다","남해동부앞바다"
"S1311400","거제시동부앞바다","남해동부앞바다"
"S1312010","남해동부안쪽먼바다","남해동부전해상"
"S1312020","남해동부바깥먼바다","남해동부전해상"
"S1322100","남해서부서쪽먼바다","남해서부전해상"
"S1322200","남해서부동쪽먼바다","남해서부전해상"
"S1323100","제주도북부앞바다","제주도앞바다"
"S1323200","제주도동부앞바다","제주도앞바다"
"S1323300","제주도남부앞바다","제주도앞바다"
"S1323400","제주도서부앞바다","제주도앞바다"
"S1324020","제주도남쪽바깥먼바다","제주도전해상"
"S1324110","제주도남동쪽안쪽먼바다","제주도전해상"
"S1324210","제주도남서쪽안쪽먼바다","제주도전해상"
